校名,電話,傳真,校址,LATITUDE,LONGITUDE
嘉義大學附小,05-2788002,05-2759834,嘉義市東區林森東路46號,23.4863336,120.45576069999993
崇文國民小學,05-2222310,05-2254467,嘉義市東區垂楊路241號,23.4738709,120.45282120000002
博愛國民小學,05-2322863,05-2334043,嘉義市西區友愛路822號,23.4915796,120.44414529999995
民族國民小學,05-2222113,05-2254501,嘉義市東區民族路235號,23.4764387,120.45483890000003
垂楊國民小學,05-2853151,05-2854960,嘉義市西區垂楊路605號,23.4725555,120.43861620000007
宣信國民小學,05-2223904,05-2248726,嘉義市東區宣信街266號,23.4694195,120.45985530000007
大同國民小學,05-2222114,05-2254752,嘉義市西區成功街15號,23.472146,120.44563599999992
僑平國民小學,05-2333746,05-2334352,嘉義市西區德安路10號,23.4841348,120.43236509999997
志航國民小學,05-2857924,05-2852473,嘉義市世賢路4段141號,23.4622193,120.4458611
林森國民小學,05-2762063,05-2750772,嘉義市東區林森東路346號,23.489515,120.46527560000004
北園國民小學,05-2371330,05-2372143,嘉義市西區北社尾路168號,23.4947361,120.4253655
嘉北國民小學,05-2757091,05-2767534,嘉義市東區嘉北街65號,23.4936021,120.4550739
精忠國民小學,05-2760474,05-2789401,嘉義市東區林森東路840號,23.4925853,120.48007359999997
育人國民小學,05-2351595,05-2868791,嘉義市西區育人路211號,23.472736,120.41577660000007
蘭潭國民小學,05-2763492,05-2786652,嘉義市東區小雅路419號,23.4757583,120.47104749999994
興安國民小學,05-2232280,05-2252780,嘉義市東區興安街35號,23.4597154,120.45522929999993
世賢國民小學,05-2338264,05-2339286,嘉義市西區世賢路一段687號,23.4920265,120.42927929999996
興嘉國民小學,05-2860885,05-2851026,嘉義市西區重慶路51號,23.4657748,120.43990940000003
港坪國民小學,05-2369037,05-2358022,嘉義市四維路63號,23.479011,120.42462750000004
文雅國民小學,05-2768011,05-2764543,嘉義市文雅路2號63號,23.4757896,120.43652559999998
大業國民中學,05-2223082,05-2241349,嘉義市東區大業街57號,23.4624845,120.45405119999998
北興國民中學,05-2766602,05-2766210,嘉義市東區博東路262號,23.4904837,120.45507169999996
嘉義國民中學,05-2762625,05-2750748,嘉義市東區圓福街86號,23.4869794,120.46485529999995
南興國民中學,05-2224383,05-2220822,嘉義市東區宣信街182號,23.4671689,120.46187950000001
民生國民中學,05-2855331,05-2830067,嘉義市西區世賢路四段141號,23.4622193,120.4458611
玉山國民中學,05-2357980,05-2838348,嘉義市友忠路1號,23.468196,120.42559929999993
蘭潭國民中學,05-2773582,05-2763581,嘉義市東區長竹里水源地1號,23.4852497,120.48081969999998
北園國民中學,05-2374673,05-2371747,嘉義市西區北社尾路166巷12號,23.4955466,120.42673089999994
