編號,設立別,幼兒園名稱,園長,幼兒園電話,幼兒園住址,LATITUDE,LONGITUDE
1,縣市立,嘉義市立吳鳳幼兒園,呂秀櫻,(05)2222835#18,[600]嘉義市東區中央里18鄰中山路260號,23.4802153,120.4503334
2,縣市立,嘉義市立復國幼兒園,陳玉如,(05)2710552,[600]嘉義市東區華南里4鄰公明路37之1號,23.4807777,120.4608097
3,國小附設(屬),國立嘉義大學附設實驗國民小學附設幼兒園,,(05)2715358,[600]嘉義市東區林森里4鄰林森東路46號,23.4863336,120.4557607
4,國小附設(屬),嘉義市東區蘭潭國民小學附設幼兒園,,(05)2763492#26,[600]嘉義市東區蘭潭里10鄰小雅路419號,23.4757583,120.4710475
5,國小附設(屬),嘉義市東區精忠國民小學附設幼兒園,,(05)2740297,[600]嘉義市東區圳頭里7鄰林森東路840號,23.4925853,120.4800736
6,國小附設(屬),嘉義市東區林森國民小學附設幼兒園,,(05)2762063#137,[600]嘉義市東區新店里11鄰林森東路346號,23.489515,120.4652756
7,國小附設(屬),嘉義市東區民族國民小學附設幼兒園,,(05)2222113#211,[600]嘉義市東區民族里9鄰民族路235號,23.4764387,120.4548389
8,國小附設(屬),嘉義市東區宣信國民小學附設幼兒園,,(05)2163831,[600]嘉義市東區新開里20鄰宣信街266號,23.4694195,120.4598553
9,國小附設(屬),嘉義市西區北園國民小學附設幼兒園,,(05)2382158,[600]嘉義市西區北湖里5鄰北社尾路168號,23.4947361,120.4253655
10,國小附設(屬),嘉義市西區博愛國民小學附設幼兒園,,(05)2322863#216,[600]嘉義市西區湖邊里6鄰友愛路822號,23.4915796,120.4441453
11,國小附設(屬),嘉義市西區育人國民小學附設幼兒園,,(05)2866271,[600]嘉義市西區港坪里2鄰育人路211號,23.472736,120.4157766
12,國小附設(屬),嘉義市西區志航國民小學附設幼兒園,,(05)2858150#10,[600]嘉義市西區光路里16鄰民生南路363號,23.460918,120.443937
13,國小附設(屬),嘉義市西區大同國民小學附設幼兒園,,(05)2222114#802,[600]嘉義市西區導明里11鄰成功街15號,23.472146,120.445636
14,國小附設(屬),嘉義市西區世賢國民小學附設幼兒園,,(05)2338264#1700,[600]嘉義市西區保福里13鄰世賢路一段687號,23.4920265,120.4292793
15,國小附設(屬),嘉義市西區垂楊國民小學附設幼兒園,,(05)2853151#119,[600]嘉義市西區垂楊里6鄰垂楊路605號,23.4725555,120.4386162
16,私人,嘉義市私立佳北幼兒園,王雪芬,(05)2783737,[600]嘉義市東區仁義里10鄰忠孝路572之11號,23.4952242,120.4524828
17,財團法人附設,財團法人天主教會嘉義教區附設嘉義市私立景仁幼兒園,麻珊珊,(05)2766011,[600]嘉義市東區中庄里11鄰忠孝路505號,23.4967203,120.4512691
18,團體附設,戴德森醫療財團法人職工福利委員會附設嘉義市私立嘉基幼兒園,許瓊文,(05)2765041#7334,[600]嘉義市東區中庄里9鄰台斗街263之33之1號,23.49632,120.451227
