名稱,建造日期,面積公頃,利用型態,所在里別,LATITUDE,LONGITUDE
嘉義公園,86年07月(整建),23.21,觀光、休憩、運動公園19.00(含棒球場)公園面積約10.0,王田里,23.4827638,120.4634463
中正公園,"77年(銅像設置)
78年01年13日啟用",1.33,社區公園,國華里,23.481671,120.4478226
長榮公園,"86年05月03日開工
87年06月05日完工",0.7006,社區公園,太平里,23.4848998,120.4577173
文昌公園,"86年01月開工
87年07年18日完工",0.4448,社區公園,民族里,23.4784106,120.4561058
崇文公園,87年08月,0.4731,社區公園,豐年里,23.4709754,120.4520661
宣信公園,81年06月,0.4,社區公園,芳安里,23.4686394,120.4600415
二二八紀念公園,85年02月28日啟用,0.7141,紀念公園,東川里,23.476663,120.462425
興嘉公園,84年04月,1.13,社區公園,車店里,23.46786,120.435522
南興公園,86年12月,1.08,社區公園,頂寮里、安寮里,23.4663929,120.4574325
民生公園,"85年07月開工
87年12月10日完工",2.625,綠地公園,美源里,23.4654863,120.4440407
南田公園,85年04月完工,1.27,社區公園,興南里,23.4707895,120.4560425
東洋公園,92年03月啟用,0.1478,社區公園,文雅里,23.4747182,120.4509758
仁愛兒童遊戲場,"85年06月開工
85年10月完工",0.24,兒童遊戲場,美源里,23.4674754,120.4430991
頂庄公園,"88年06月開工
89年03月完工",0.2,兒童遊戲場,頂庄里,23.4977678,120.4571499
友忠公園,94年02月03日啟用,1.486,社區公園,福全里,23.4770901,120.4331051
文雅公園,"94年03月16日完工
94年04月30日啟用",0.1702,社區公園(綠帶0.043，公園0.1272),文雅里,23.4826243,120.4845702
後湖公園,94年10月29日啟用,0.3925,社區公園,後湖里,23.5018073,120.4560602
中庄公園,95年5月7日啟用,0.2049,社區公園,中庄里,23.4961708,120.450035
北社尾公園,"95年11月完工
96年01月01日啟用",0.76,社區公園,北湖里,23.4929973,120.4252162
光路公園,"95年10月完工
96年02月啟用",0.18,社區公園,光路里,23.4599633,120.4417942
番仔溝公園,"97年2月完工
97年5月14日啟用",0.8,社區公園,西平里,23.4747277,120.4352131
番仔溝公園,"97年2月完工
97年5月14日開放",2.05,社區公園,西平里,23.4747277,120.4352131
文化公園,"97年10月27日完工
98年01月24日啟用",3.08,社區公園,過溝里,23.4747182,120.4509758
劉厝公園,"96年7月23日完工
97年2月5日啟用",2.15,社區公園,劉厝里,23.4680795,120.4152622
劉厝2號公園,"97年4月完工
98年02月14日啟用",1.1,社區公園,劉厝里,23.4609913,120.4159921
劉厝3號公園,"97年11月14日完工
98年06月09日啟用",1.23,社區公園,劉厝里,23.4609913,120.4159921
湖內兒童公園,"97年08月24日完工
98年01月23日啟用",0.18,社區公園,湖內里,23.4554827,120.4415652
短竹公園,"97年10月13日完工
98年04月01日啟用",0.21,社區公園,短竹里,23.4694868,120.4680792
義昌公園,99年08月27日啟用,0.66,社區公園,西榮里,23.4768918,120.4460248
芳草公園,"99年03月28日開工
99年09月24日完工",0.21,社區公園,芳草里,23.466527,120.4650983
香湖公園,104年9月30日啟用,25.26,市鎮公園,香湖里,23.4920481,120.4453452
228國家紀念公園,"營建署
100年09月完工
100年12月18日啟用",6.1,紀念公園,劉厝里,23.4663924,120.4134837
嘉義都會森林公園,101年08月22日完工103年01月27日啟用,5.5,保護區,東川里,23.4841399,120.4712938
啟明公園,,1.33,社區公園，道路用地,東川里,23.4796785,120.4629985
