名稱,住址,電話,LATITUDE,LONGITUDE
嘉義市政府消防局,嘉義市立學街16號,05-2716660,23.4723377,120.467217
第一消防大隊,嘉義市文化路287號3樓,05-2226658,23.4847444,120.4481734
德安分隊,嘉義市德安路171號,05-2330119,23.4835288,120.4281117
第一分隊,嘉義市文化路287號,05-2226658,23.4847444,120.4481734
湖內分隊,嘉義市南京路51號,05-2832051,23.4561649,120.4411167
第二消防大隊,嘉義市保建街123號3樓,05-2712911,23.5005554,120.4523563
蘭潭分隊,嘉義市立學街16號,05-2715390,23.4723377,120.467217
後湖分隊,嘉義市保建街123號,05-2761851,23.5005554,120.4523563
第二分隊,嘉義市吳鳳南路367號,05-2236696,23.4638833,120.4557959
東區分隊,嘉義市新生路306號,05-2759746,23.4858898,120.4607192
