項次,機構類別,機構名稱,機構代碼,地址,負責人,電話,LATITUDE,LONGITUDE
1,中醫診所,慈生內科傷科中醫診所,3822020096,嘉義市西區學圃里民生北路２０號,蔡清煌,52252278,23.475108,120.447277
2,中醫診所,中和內科傷科中醫診所,3822020149,嘉義市西區民族路806號,黃火全,05 2273543,23.4751801,120.4404774
3,中醫診所,金德中醫診所,3822020041,嘉義市西區北興街２８８號,張金庫,05 2325118,23.4854973,120.4389491
4,中醫診所,李中醫診所,3822020050,嘉義市西區杭州三街２１號,李泰榮,05 2852059,23.466618,120.4452572
5,中醫診所,杏林堂中醫診所,3822020130,嘉義市西區民生南路５５０號,李曜騰,05 2353309,23.4588246,120.4434801
6,中醫診所,張福泉中醫診所,3822020274,嘉義市西區北興街１７４號,張福泉,05 2320181,23.4843496,120.4412602
7,中醫診所,蔡國忠中醫診所,3822020336,嘉義市西區仁愛路２９７號,蔡國忠,05 2854696,23.4725882,120.44239
8,中醫診所,聖林中醫診所,3822020345,嘉義市西區自由路３１２號,羅金發,05 2320581,23.4902502,120.4354694
9,中醫診所,迦南中醫診所,3822020354,嘉義市西區保安里竹圍路１２３號,卓青峰,05 2332414,23.4866043,120.4297761
10,中醫診所,洪鳳鳴中醫診所,3822020416,嘉義市西區博愛路一段207號,洪鳳鳴,05 2321091,23.4885514,120.4456928
11,中醫診所,大成中醫診所,3822020434,嘉義市西區書院里新榮路307號1至2樓,劉自強,05 2222635,23.478678,120.444156
12,中醫診所,建成中醫診所,3822020461,嘉義市西區建成街７３之２號,柳維聰,05 2866058,23.4711086,120.4406598
13,中醫診所,養心齋中醫診所,3822020470,嘉義市西區八德路56號,王貴芳,05 2341971,23.4835525,120.4310715
14,中醫診所,建民堂中醫診所,3822020514,嘉義市西區光路里民生南路４３０號,黃順珍,05 2831318,23.461363,120.443668
15,中醫診所,朝榮中醫診所,3822020532,嘉義市西區仁愛路３０１號,陳朝榮,05 2855888,23.4726532,120.4423741
16,中醫診所,新民中醫診所,3822021566,嘉義市西區新民路703號2樓,賀慕竹,05-2837170,23.4689173,120.4397791
17,中醫診所,正慶中醫診所,3822021584,嘉義市西區仁愛路372號,江正慶,05-2270130,23.4727081,120.442573
18,中醫診所,嘉冠中醫診所,3822021619,嘉義市西區忠義街174號,黃俊銘,05-2222354,23.4824873,120.4471065
19,中醫診所,德隆中醫診所,3822021628,嘉義市西區友順街85號,李德隆,05-2315556,23.486587,120.434672
20,中醫診所,仲聖中醫診所,3822021637,嘉義市西區興業西路85號地下一樓,黃國龍,52270513,23.4678804,120.4388077
21,中醫診所,百安堂中醫診所,3822021646,嘉義市西區興達路158號1樓,楊宗熹,05-2321355,23.4889739,120.4417707
22,中醫診所,復安堂中醫診所,3822021691,嘉義市西區蘭井街316號之2,陳勝祥,05-2231858,23.4770266,120.4441182
23,中醫診所,儒佑中醫診所,3822021735,嘉義市西區忠義街135號,黃宗寶,05-2744973,23.4803083,120.4472557
24,中醫診所,銘冠中醫診所,3822021744,嘉義市西區民族路650號.新榮路110號,邱振城,05-2273311,23.4755558,120.4445158
25,中醫診所,慈仁中醫診所,3822021771,嘉義市西區志昇街71號1樓,王莉眉,05-2258837,23.4690574,120.443289
26,中醫診所,宏信中醫診所,3822021815,嘉義市西區竹圍里興達路474號1樓,廖麗君,05-2318467,23.4854089,120.4319187
27,中醫診所,恕安中醫診所,3822021824,嘉義市西區永和里廣寧街13號1樓,沈慧宙,05-2221150,23.4738778,120.4412756
28,中醫診所,榮光中醫診所,3822021833,嘉義市西區民生北路271號1、2樓,陳明和,52163316,23.4815217,120.4459172
29,中醫診所,星嘉中醫診所,3822021842,嘉義市西區車店里上海路167號1樓,吳嘉燕,2836969,23.4664726,120.4325689
30,中醫診所,寶芝琳中醫診所,3822021851,嘉義市西區永和街69-1號1樓,游顯彰,05-2273205,23.4749531,120.4400792
31,中醫診所,安和中醫診所,3822021860,嘉義市西區新厝里友忠路935之1號1樓,林玟怡,05-2331959,23.4894695,120.4427529
32,中醫診所,寶雅中醫診所,3822021879,嘉義市西區興業西路149號一樓,張寶源,05-2352200,23.4682297,120.4427221
33,中醫診所,季德中醫診所,3822021897,嘉義市西區民族路542號1樓,張育綾,2253209.094,23.4758008,120.4477311
34,中醫診所,康慧中醫診所,3822021904,嘉義市西區興業西路154號1樓,劉淑清,05-2361836,23.468395,120.4416523
35,中醫診所,慶昇中醫診所,3822021922,嘉義市西區北榮街217號1樓,吳孟青,05-2223112,23.4804188,120.444393
36,中醫診所,兆春中醫診所,3822011471,嘉義市東區林森東路82號,吳銘唐,05 2752282,23.4868152,120.4571319
37,中醫診所,濟世中醫診所,3822011506,嘉義市東區林森東路800號、802號1樓,楊政龍,05-2740868,23.4924976,120.4789688
38,中醫診所,建生中醫診所,3822011515,嘉義市東區吳鳳北路二一三號一樓,何俊儀,05-2225015,23.4790737,120.4532715
39,中醫診所,中孚中醫診所,3822011524,嘉義市東區太平里博東路289號1樓,許玉娟,05-2778692,23.4904405,120.4575402
40,中醫診所,天仁堂中醫診所,3822011551,嘉義市東區吳鳳南路579號,林耕緯,05-2301900,23.4564287,120.4588522
41,中醫診所,金陵中醫診所,3822011588,嘉義市東區吳鳳北路353號之1一樓,林晃,05-2759014,23.4835459,120.4522312
42,中醫診所,天祥中醫診所,3822011597,嘉義市東區中山路210號,吳慶明,05-2253607,23.4809788,120.4516112
43,中醫診所,吉祥中醫診所,3822011604,嘉義市東區興業東路317號,王天寶,2230229,23.4696754,120.4565199
44,中醫診所,立仁中醫診所,3822011613,嘉義市東區安寮里立仁路331號1樓,邱瑞發,52232188,23.4623704,120.4570459
45,中醫診所,慈護誠品中醫診所,3822011622,嘉義市東區大雅路二段432號1樓,戴君強,05-2711277,23.4777797,120.4721414
46,中醫診所,慶瑞堂中醫診所,3822011631,嘉義市東區林森東路428號1樓嘉義市林森東路428號1樓,莊凱添,05-2782785,23.4908389,120.4688319
47,中醫診所,林臻瑋中醫診所,3822011659,嘉義市東區民權路120-6號1樓,林臻瑋,2779867,23.483641,120.4577785
48,中醫診所,洪揚中醫診所,3822011668,嘉義市東區公明路279、281號1樓,洪士翔,05-2160638,23.4797532,120.4517812
49,中醫診所,高銘中醫診所,3822011677,嘉義市東區義教街755號1樓,王俞評,05-2712717,23.4984444,120.4531412
50,中醫診所,鍾明昌中醫診所,3822010054,嘉義市東區民國路２１１號,鍾明昌,05 2782208,23.4811132,120.4599668
51,中醫診所,詹輝次中醫診所,3822010072,嘉義市東區初陽里民族路３６２號,詹輝次,05 2271177,23.476286,120.4518619
52,中醫診所,亞產中醫診所,3822010081,嘉義市東區吳鳳北路226號,唐豐成,05 2229612,23.4796998,120.4531845
53,中醫診所,德義堂中醫診所,3822010107,嘉義市東區安平里民族路３１６號,張宏興,05 2224807,23.476305,120.453017
54,中醫診所,斌德中醫診所,3822010116,嘉義市東區鎮南里忠孝路５號,賴惠淳,05 2224123,23.4770744,120.4546541
55,中醫診所,日生堂中醫診所,3822010134,嘉義市東區公明路213號,劉鎮臺,05-2226097,23.4799317,120.453627
56,中醫診所,龍德中醫診所,3822010161,嘉義市東區吳鳳北路１５８號,楊國耀,05 2282883,23.4781887,120.4533934
57,中醫診所,南山中醫診所,3822010170,嘉義市東區蘭井里光華路５６號,張健生,05 2223658,23.477783,120.4536372
58,中醫診所,仰德中醫診所,3822010223,嘉義市東區啟明路１０８號,蘇泰蒼,05 2753848,23.478361,120.462633
59,中醫診所,大安中醫診所,3822010287,嘉義市東區東噴里中山路53號,朱建昌,05 2785861,23.4821109,120.45949
60,中醫診所,信生中醫診所,3822010303,嘉義市東區吳鳳南路62號1樓,賴陳月華,05 2220160,23.462698,120.4572872
61,中醫診所,亦生堂中醫診所,3822010312,嘉義市東區台林街１２２號,林貴美,05 2753865,23.4958216,120.4552614
62,中醫診所,濟生中醫診所,3822010321,嘉義市東區吳鳳南路１３８號,王坤盛,05 2257713,23.465239,120.4548413
63,中醫診所,曾志能中醫診所,3822010376,嘉義市東區吳鳳北路４０７號,曾志能,05 22755488,23.4847809,120.4521045
64,中醫診所,嘉德中醫診所,3822011408,嘉義市東區吳鳳北路216號,趙炎洲,05-2270112,23.4794542,120.4532192
65,中醫診所,芳安中醫診所,3822011417,嘉義市東區芳安路103號,周明正,52289913,23.468453,120.4631297
66,中醫診所,誠泰中醫診所,3822011435,嘉義市東區民權路188號,陳企忠,05-2713969,23.4833985,120.4554286
67,中醫診所,文德中醫診所,3822011453,嘉義市東區和平路261號,李明憲,05-2251827,23.4793747,120.4569201
68,中醫診所,和信中醫診所,3822011462,嘉義市東區嘉北街106號,蕭有福,05-2766256,23.4941249,120.453365
69,西醫診所,奇威診所,3522020027,嘉義市西區長榮街２８２號,顏權騰,05-2255901,23.4828355,120.4473375
70,西醫診所,邱內兒科診所,3522020107,嘉義市西區新榮路２５６號,邱義和,05 2282013,23.4808791,120.4440678
71,西醫診所,林昭男家庭醫學科診所,3522020134,嘉義市西區民族路７１８號,林昭男,05 2279558,23.4755185,120.4430205
