村里,緯度,經度
香湖里,23.4958554,120.4458448
湖邊里,23.4916303,120.4436845
北榮里,23.4879194,120.446925
重興里,23.4868897,120.440804
竹圍里,23.4849319,120.4343228
新厝里,23.4922491,120.440804
保安里,23.4900856,120.4321623
北湖里,23.4944152,120.4213592
下埤里,23.4915282,120.409835
竹村里,23.4983305,120.396869
大溪里,23.483223,120.407115
福全里,23.4790568,120.4336026
西平里,23.4779227,120.4264007
磚磘里,23.472769,120.4285613
港坪里,23.4752414,120.4170377
頭港里,23.4713209,120.4040725
劉厝里,23.4665829,120.4199187
新西里,23.4717387,120.4364832
書院里,23.4772013,120.4422443
培元里,23.4715326,120.4436845
垂楊里,23.4711204,120.4393638
車店里,23.4669972,120.4336026
福民里,23.4626683,120.4350429
湖內里,23.45195,120.4444046
美源里,23.4663793,120.4458448
育英里,23.4706048,120.4480051
致遠里,23.4694712,120.4454848
光路里,23.460092,120.440804
翠岱里,23.4692651,120.4433245
自強里,23.4683891,120.4411641
永和里,23.4738001,120.4393638
新富里,23.4742123,120.4436845
文化里,23.4767369,120.4490852
西榮里,23.4776132,120.4465649
國華里,23.4826631,120.4480051
番社里,23.4806022,120.4451247
導明里,23.4725115,120.446925
慶安里,23.4845188,120.4440446
後驛里,23.4804996,120.4393638
福安里,23.4814273,120.4256805
獅子里,23.4574122,120.440804
紅瓦里,23.4587509,120.4314421
保福里,23.4866843,120.4292815
保生里,23.4918374,120.4364832
北新里,23.5026603,120.4328824
